Nome,Tipo,Habilidades,Geração
Bulbasaur,"Planta, Venenoso","Raio Solar, Veneno Ácido",Primeira
Ivysaur,"Planta, Venenoso","Raio Solar, Veneno Ácido",Primeira
Venusaur,"Planta, Venenoso","Raio Solar, Veneno Ácido",Primeira
Charmander,"Fogo","Chama, Investida de Fogo",Primeira
Charmeleon,"Fogo","Chama, Investida de Fogo",Primeira
Charizard,"Fogo, Voador","Chama, Bico Perfurante",Primeira
Squirtle,"Água","Surf, Jato de Água",Primeira
Wartortle,"Água","Surf, Jato de Água",Primeira
Blastoise,"Água","Surf, Jato de Água",Primeira
Caterpie,"Inseto","Investida, Pó Venenoso",Primeira
Metapod,"Inseto","Investida, Pó Venenoso",Primeira
Butterfree,"Inseto, Voador","Investida, Vento Prateado",Primeira
Weedle,"Inseto, Venenoso","Investida, Pó Venenoso",Primeira
Kakuna,"Inseto, Venenoso","Investida, Pó Venenoso",Primeira
Beedrill,"Inseto, Venenoso","Investida, Agulha Dupla",Primeira
Pidgey,"Normal, Voador","Investida, Vento Cortante",Primeira
Pidgeotto,"Normal, Voador","Investida, Vento Cortante",Primeira
Pidgeot,"Normal, Voador","Investida, Vento Cortante",Primeira
Rattata,"Normal","Investida, Hyper Presa",Primeira
Raticate,"Normal","Investida, Hyper Presa",Primeira
Spearow,"Normal, Voador","Investida, Bico Perfurante",Primeira
Fearow,"Normal, Voador","Investida, Bico Perfurante",Primeira
Ekans,"Venenoso","Presa Venenosa, Investida de Ácido",Primeira
Arbok,"Venenoso","Presa Venenosa, Investida de Ácido",Primeira
Pikachu,"Elétrico","Raio Veloz, Choque do Trovão",Primeira
Raichu,"Elétrico","Raio Veloz, Choque do Trovão",Primeira
Sandshrew,"Terra","Investida de Areia, Terremoto",Primeira
Sandslash,"Terra","Investida de Areia, Terremoto",Primeira
Nidoran♀,"Venenoso","Investida, Pó Venenoso",Primeira
Nidorina,"Venenoso","Investida, Pó Venenoso",Primeira
Nidoqueen,"Venenoso, Terra","Investida, Terremoto",Primeira
